name,department,rmp_id,rmp_rating,rmp_difficulty,rmp_would_take_again,rmp_department,notes
Abdelhamid Benhmade,,,,,,,Needs manual RMP lookup
Abdou Thiaw,,,,,,,Needs manual RMP lookup
Adlin Présumé,,,,,,,Needs manual RMP lookup
Adriana Kolijn,,,,,,,Needs manual RMP lookup
Agathe Rhéaume,,,,,,,Needs manual RMP lookup
Agnieszka Grudniewicz,,,,,,,Needs manual RMP lookup
Aida Bahramian,,,,,,,Needs manual RMP lookup
Aiko Kurimoto,,,,,,,Needs manual RMP lookup
Alan O'Sullivan,,,,,,,Needs manual RMP lookup
Albert Stolow,,,,,,,Needs manual RMP lookup
Alexandra Charland-Froment,,,,,,,Needs manual RMP lookup
Alexandra Dubé-Chavanel,,,,,,,Needs manual RMP lookup
Alexandra Pépin,,,,,,,Needs manual RMP lookup
Alexandre Dumas,,,,,,,Needs manual RMP lookup
Alexandre Pelletier-Audet,,,,,,,Needs manual RMP lookup
Alexandria Bonney,,,,,,,Needs manual RMP lookup
Alexi Desmarais,,,,,,,Needs manual RMP lookup
Alexis Sprung,,,,,,,Needs manual RMP lookup
Ali Hamad,,,,,,,Needs manual RMP lookup
Ali Momenimovahed,,,,,,,Needs manual RMP lookup
Alice Anne Zwerling,,,,,,,Needs manual RMP lookup
Alice Defours,,,,,,,Needs manual RMP lookup
Alice Levasseur,,,,,,,Needs manual RMP lookup
Aline Germain-Rutherford,,,,,,,Needs manual RMP lookup
Alison Mcewen,,,,,,,Needs manual RMP lookup
Allan Michael David Charbonneau,,,,,,,Needs manual RMP lookup
Amanda Kellock,,,,,,,Needs manual RMP lookup
Amanda Noronha Oliveira,,,,,,,Needs manual RMP lookup
Amir Abou-El-Kheir,,,,,,,Needs manual RMP lookup
Amir Hossein Khataie,,,,,,,Needs manual RMP lookup
Amir Hossein Razavi,,,,,,,Needs manual RMP lookup
Anabel Beaudry Sarazin,,,,,,,Needs manual RMP lookup
Anais Tatossian,,,,,,,Needs manual RMP lookup
Andrea Olivares Beltran,,,,,,,Needs manual RMP lookup
Andrew Anstey,,,,,,,Needs manual RMP lookup
